name,avg_us,std_us,runs,#,N,C,H,W,h_var,w_var,seed,cuda,numel,cpu
relu__tensor_pad,169,7,88369,0/270,1,256,80,80,20.0,20.0,24,False,763392,1
relu__tensor_iter,167,4,89328,1/270,1,256,80,80,20.0,20.0,24,False,763392,1
relu__nt,179,5,83756,2/270,1,256,80,80,20.0,20.0,24,False,763392,1
relu_tensor_iter,249,8,60098,3/270,1,256,80,80,20.0,20.0,24,False,763392,1
relu_tensor_pad,249,6,60197,4/270,1,256,80,80,20.0,20.0,24,False,763392,1
relu_nt,281,7,53208,5/270,1,256,80,80,20.0,20.0,24,False,763392,1
conv2d_iter_1x1,6280,140,2389,6/270,1,256,80,80,20.0,20.0,24,False,763392,1
conv2d_pad_1x1,6212,50,2415,7/270,1,256,80,80,20.0,20.0,24,False,763392,1
conv2d_nt_1x1,6284,119,2387,8/270,1,256,80,80,20.0,20.0,24,False,763392,1
conv2d_iter_3x3,47040,1106,319,9/270,1,256,80,80,20.0,20.0,24,False,763392,1
conv2d_pad_3x3,46996,999,320,10/270,1,256,80,80,20.0,20.0,24,False,763392,1
conv2d_nt_3x3,48393,1993,310,11/270,1,256,80,80,20.0,20.0,24,False,763392,1
conv2d_iter_7x7,185805,2407,81,12/270,1,256,80,80,20.0,20.0,24,False,763392,1
conv2d_pad_7x7,186252,3511,81,13/270,1,256,80,80,20.0,20.0,24,False,763392,1
conv2d_nt_7x7,185549,4634,81,14/270,1,256,80,80,20.0,20.0,24,False,763392,1
batch_norm_tensor_iter,297,11,50360,15/270,1,256,80,80,20.0,20.0,24,False,763392,1
batch_norm_tensor_pad,281,5,53331,16/270,1,256,80,80,20.0,20.0,24,False,763392,1
batch_norm_nt,328,7,45701,17/270,1,256,80,80,20.0,20.0,24,False,763392,1
max_pool2d_tensor_iter,4174,95,3593,18/270,1,256,80,80,20.0,20.0,24,False,763392,1
max_pool2d_tensor_pad,4401,79,3408,19/270,1,256,80,80,20.0,20.0,24,False,763392,1
max_pool2d_nt,4449,87,3372,20/270,1,256,80,80,20.0,20.0,24,False,763392,1
cross_entropy_tensor_iter,9375,183,1600,21/270,1,256,80,80,20.0,20.0,24,False,763392,1
cross_entropy_tensor_pad,9366,193,1602,22/270,1,256,80,80,20.0,20.0,24,False,763392,1
cross_entropy_nt,9379,159,1600,23/270,1,256,80,80,20.0,20.0,24,False,763392,1
dropout_tensor_iter,1689,51,8878,24/270,1,256,80,80,20.0,20.0,24,False,763392,1
dropout_tensor_pad,1665,33,9005,25/270,1,256,80,80,20.0,20.0,24,False,763392,1
