name,avg_us,std_us,runs,#,N,C,H,W,h_var,w_var,seed,cuda,numel
relu__tensor_pad,8,0,1744984,0/270,1,256,80,80,20.0,20.0,24,True,763392
relu__tensor_iter,8,0,1726538,1/270,1,256,80,80,20.0,20.0,24,True,763392
relu__nt,23,1,648461,2/270,1,256,80,80,20.0,20.0,24,True,763392
relu_tensor_iter,13,0,1103953,3/270,1,256,80,80,20.0,20.0,24,True,763392
relu_tensor_pad,13,0,1124884,4/270,1,256,80,80,20.0,20.0,24,True,763392
relu_nt,52,1,284357,5/270,1,256,80,80,20.0,20.0,24,True,763392
conv2d_iter_1x1,93,2,160394,6/270,1,256,80,80,20.0,20.0,24,True,763392
conv2d_pad_1x1,94,1,157937,7/270,1,256,80,80,20.0,20.0,24,True,763392
conv2d_nt_1x1,101,5,148368,8/270,1,256,80,80,20.0,20.0,24,True,763392
conv2d_iter_3x3,675,1,22195,9/270,1,256,80,80,20.0,20.0,24,True,763392
conv2d_pad_3x3,683,5,21942,10/270,1,256,80,80,20.0,20.0,24,True,763392
conv2d_nt_3x3,683,5,21959,11/270,1,256,80,80,20.0,20.0,24,True,763392
conv2d_iter_7x7,2976,26,5039,12/270,1,256,80,80,20.0,20.0,24,True,763392
conv2d_pad_7x7,3004,4,4993,13/270,1,256,80,80,20.0,20.0,24,True,763392
conv2d_nt_7x7,3004,4,4994,14/270,1,256,80,80,20.0,20.0,24,True,763392
batch_norm_tensor_iter,71,7,211047,15/270,1,256,80,80,20.0,20.0,24,True,763392
batch_norm_tensor_pad,55,5,271615,16/270,1,256,80,80,20.0,20.0,24,True,763392
batch_norm_nt,105,5,142012,17/270,1,256,80,80,20.0,20.0,24,True,763392
max_pool2d_tensor_iter,37,4,403411,18/270,1,256,80,80,20.0,20.0,24,True,763392
max_pool2d_tensor_pad,24,3,620717,19/270,1,256,80,80,20.0,20.0,24,True,763392
max_pool2d_nt,71,5,209742,20/270,1,256,80,80,20.0,20.0,24,True,763392
cross_entropy_tensor_iter,339,5,44139,21/270,1,256,80,80,20.0,20.0,24,True,763392
cross_entropy_tensor_pad,336,5,44515,22/270,1,256,80,80,20.0,20.0,24,True,763392
cross_entropy_nt,339,3,44192,23/270,1,256,80,80,20.0,20.0,24,True,763392
dropout_tensor_iter,33,1,445367,24/270,1,256,80,80,20.0,20.0,24,True,763392
dropout_tensor_pad,22,1,670908,25/270,1,256,80,80,20.0,20.0,24,True,763392
dropout_nt,51,2,292011,26/270,1,256,80,80,20.0,20.0,24,True,763392
interpolate_tensor_iter,126,1,118299,27/270,1,256,80,80,20.0,20.0,24,True,763392
interpolate_tensor_pad,52,2,287439,28/270,1,256,80,80,20.0,20.0,24,True,763392
interpolate_nt,58,2,256988,29/270,1,256,80,80,20.0,20.0,24,True,763392
relu__tensor_pad,16,0,883606,30/270,1,256,80,80,10.0,10.0,24,True,1171200
relu__tensor_iter,16,0,894918,31/270,1,256,80,80,10.0,10.0,24,True,1171200
relu__nt,23,1,649305,32/270,1,256,80,80,10.0,10.0,24,True,1171200
relu_tensor_iter,18,1,814568,33/270,1,256,80,80,10.0,10.0,24,True,1171200
relu_tensor_pad,18,1,819831,34/270,1,256,80,80,10.0,10.0,24,True,1171200
relu_nt,53,2,279457,35/270,1,256,80,80,10.0,10.0,24,True,1171200
conv2d_iter_1x1,133,2,112621,36/270,1,256,80,80,10.0,10.0,24,True,1171200
conv2d_pad_1x1,134,2,111160,37/270,1,256,80,80,10.0,10.0,24,True,1171200
conv2d_nt_1x1,134,2,111494,38/270,1,256,80,80,10.0,10.0,24,True,1171200
conv2d_iter_3x3,983,7,15247,39/270,1,256,80,80,10.0,10.0,24,True,1171200
conv2d_pad_3x3,984,2,15242,40/270,1,256,80,80,10.0,10.0,24,True,1171200
conv2d_nt_3x3,983,3,15247,41/270,1,256,80,80,10.0,10.0,24,True,1171200
conv2d_iter_7x7,3810,5,3937,42/270,1,256,80,80,10.0,10.0,24,True,1171200
conv2d_pad_7x7,3862,31,3884,43/270,1,256,80,80,10.0,10.0,24,True,1171200
conv2d_nt_7x7,3860,32,3886,44/270,1,256,80,80,10.0,10.0,24,True,1171200
batch_norm_tensor_iter,69,3,216007,45/270,1,256,80,80,10.0,10.0,24,True,1171200
batch_norm_tensor_pad,54,2,276745,46/270,1,256,80,80,10.0,10.0,24,True,1171200
batch_norm_nt,105,3,142501,47/270,1,256,80,80,10.0,10.0,24,True,1171200
max_pool2d_tensor_iter,34,2,439069,48/270,1,256,80,80,10.0,10.0,24,True,1171200
max_pool2d_tensor_pad,23,1,649581,49/270,1,256,80,80,10.0,10.0,24,True,1171200
max_pool2d_nt,69,3,215028,50/270,1,256,80,80,10.0,10.0,24,True,1171200
cross_entropy_tensor_iter,387,3,38700,51/270,1,256,80,80,10.0,10.0,24,True,1171200
cross_entropy_tensor_pad,388,3,38653,52/270,1,256,80,80,10.0,10.0,24,True,1171200
cross_entropy_nt,387,2,38709,53/270,1,256,80,80,10.0,10.0,24,True,1171200
dropout_tensor_iter,33,1,453676,54/270,1,256,80,80,10.0,10.0,24,True,1171200
dropout_tensor_pad,25,1,584202,55/270,1,256,80,80,10.0,10.0,24,True,1171200
dropout_nt,50,2,296306,56/270,1,256,80,80,10.0,10.0,24,True,1171200
interpolate_tensor_iter,137,1,108905,57/270,1,256,80,80,10.0,10.0,24,True,1171200
interpolate_tensor_pad,52,2,286353,58/270,1,256,80,80,10.0,10.0,24,True,1171200
interpolate_nt,59,2,253093,59/270,1,256,80,80,10.0,10.0,24,True,1171200
relu__tensor_pad,25,1,589025,60/270,1,256,80,80,0.0,0.0,24,True,1638400
relu__tensor_iter,25,1,591346,61/270,1,256,80,80,0.0,0.0,24,True,1638400
relu__nt,25,1,592549,62/270,1,256,80,80,0.0,0.0,24,True,1638400
relu_tensor_iter,25,1,592122,63/270,1,256,80,80,0.0,0.0,24,True,1638400
relu_tensor_pad,25,1,590965,64/270,1,256,80,80,0.0,0.0,24,True,1638400
relu_nt,53,2,279732,65/270,1,256,80,80,0.0,0.0,24,True,1638400
conv2d_iter_1x1,167,3,89701,66/270,1,256,80,80,0.0,0.0,24,True,1638400
conv2d_pad_1x1,168,2,89174,67/270,1,256,80,80,0.0,0.0,24,True,1638400
conv2d_nt_1x1,168,2,89174,68/270,1,256,80,80,0.0,0.0,24,True,1638400
conv2d_iter_3x3,1144,8,13105,69/270,1,256,80,80,0.0,0.0,24,True,1638400
conv2d_pad_3x3,1142,3,13124,70/270,1,256,80,80,0.0,0.0,24,True,1638400
conv2d_nt_3x3,1142,3,13130,71/270,1,256,80,80,0.0,0.0,24,True,1638400
conv2d_iter_7x7,5475,22,2740,72/270,1,256,80,80,0.0,0.0,24,True,1638400
conv2d_pad_7x7,5476,12,2739,73/270,1,256,80,80,0.0,0.0,24,True,1638400
conv2d_nt_7x7,5475,5,2740,74/270,1,256,80,80,0.0,0.0,24,True,1638400
batch_norm_tensor_iter,71,122,209086,75/270,1,256,80,80,0.0,0.0,24,True,1638400
batch_norm_tensor_pad,54,2,275187,76/270,1,256,80,80,0.0,0.0,24,True,1638400
batch_norm_nt,106,5,140374,77/270,1,256,80,80,0.0,0.0,24,True,1638400
max_pool2d_tensor_iter,34,2,430379,78/270,1,256,80,80,0.0,0.0,24,True,1638400
max_pool2d_tensor_pad,25,1,585491,79/270,1,256,80,80,0.0,0.0,24,True,1638400
max_pool2d_nt,71,3,209729,80/270,1,256,80,80,0.0,0.0,24,True,1638400
cross_entropy_tensor_iter,388,2,38653,81/270,1,256,80,80,0.0,0.0,24,True,1638400
cross_entropy_tensor_pad,388,2,38587,82/270,1,256,80,80,0.0,0.0,24,True,1638400
cross_entropy_nt,388,3,38641,83/270,1,256,80,80,0.0,0.0,24,True,1638400
dropout_tensor_iter,33,1,444378,84/270,1,256,80,80,0.0,0.0,24,True,1638400
dropout_tensor_pad,33,1,441599,85/270,1,256,80,80,0.0,0.0,24,True,1638400
dropout_nt,52,2,288185,86/270,1,256,80,80,0.0,0.0,24,True,1638400
interpolate_tensor_iter,119,1,125879,87/270,1,256,80,80,0.0,0.0,24,True,1638400
interpolate_tensor_pad,35,2,416787,88/270,1,256,80,80,0.0,0.0,24,True,1638400
interpolate_nt,60,3,248327,89/270,1,256,80,80,0.0,0.0,24,True,1638400
relu__tensor_pad,241,1,62035,90/270,4,256,80,80,20.0,20.0,24,True,9984256
relu__tensor_iter,153,1,97590,91/270,4,256,80,80,20.0,20.0,24,True,9984256
relu__nt,149,1,100334,92/270,4,256,80,80,20.0,20.0,24,True,9984256
relu_tensor_iter,154,2,97251,93/270,4,256,80,80,20.0,20.0,24,True,9984256
relu_tensor_pad,242,1,61972,94/270,4,256,80,80,20.0,20.0,24,True,9984256
relu_nt,149,2,100318,95/270,4,256,80,80,20.0,20.0,24,True,9984256
conv2d_iter_1x1,1066,12,14068,96/270,4,256,80,80,20.0,20.0,24,True,9984256
conv2d_pad_1x1,1512,13,9920,97/270,4,256,80,80,20.0,20.0,24,True,9984256
conv2d_nt_1x1,1074,13,13961,98/270,4,256,80,80,20.0,20.0,24,True,9984256
conv2d_iter_3x3,8183,152,1833,99/270,4,256,80,80,20.0,20.0,24,True,9984256
conv2d_pad_3x3,11523,108,1302,100/270,4,256,80,80,20.0,20.0,24,True,9984256
conv2d_nt_3x3,13068,12641,1148,101/270,4,256,80,80,20.0,20.0,24,True,9984256
conv2d_iter_7x7,37512,334,400,102/270,4,256,80,80,20.0,20.0,24,True,9984256
conv2d_pad_7x7,21524,18886,698,103/270,4,256,80,80,20.0,20.0,24,True,9984256
conv2d_nt_7x7,199230,1285,76,104/270,4,256,80,80,20.0,20.0,24,True,9984256
batch_norm_tensor_iter,199242,1400,76,105/270,4,256,80,80,20.0,20.0,24,True,9984256
batch_norm_tensor_pad,714,3749,21003,106/270,4,256,80,80,20.0,20.0,24,True,9984256
batch_norm_nt,227,17,65883,107/270,4,256,80,80,20.0,20.0,24,True,9984256
max_pool2d_tensor_iter,147,13,101736,108/270,4,256,80,80,20.0,20.0,24,True,9984256
max_pool2d_tensor_pad,215,1,69625,109/270,4,256,80,80,20.0,20.0,24,True,9984256
max_pool2d_nt,147,11,101565,110/270,4,256,80,80,20.0,20.0,24,True,9984256
cross_entropy_tensor_iter,1585,6,9462,111/270,4,256,80,80,20.0,20.0,24,True,9984256
cross_entropy_tensor_pad,828,6,18111,112/270,4,256,80,80,20.0,20.0,24,True,9984256
cross_entropy_nt,1582,7,9481,113/270,4,256,80,80,20.0,20.0,24,True,9984256
dropout_tensor_iter,203,2,73637,114/270,4,256,80,80,20.0,20.0,24,True,9984256
dropout_tensor_pad,301,2,49676,115/270,4,256,80,80,20.0,20.0,24,True,9984256
dropout_nt,204,2,73261,116/270,4,256,80,80,20.0,20.0,24,True,9984256
interpolate_tensor_iter,573,1,26146,117/270,4,256,80,80,20.0,20.0,24,True,9984256
interpolate_tensor_pad,230,1,65021,118/270,4,256,80,80,20.0,20.0,24,True,9984256
interpolate_nt,189,1,79149,119/270,4,256,80,80,20.0,20.0,24,True,9984256
relu__tensor_pad,161,1,92891,120/270,4,256,80,80,10.0,10.0,24,True,8031744
relu__tensor_iter,124,1,120044,121/270,4,256,80,80,10.0,10.0,24,True,8031744
relu__nt,120,1,124631,122/270,4,256,80,80,10.0,10.0,24,True,8031744
relu_tensor_iter,125,1,119753,123/270,4,256,80,80,10.0,10.0,24,True,8031744
relu_tensor_pad,161,1,92813,124/270,4,256,80,80,10.0,10.0,24,True,8031744
relu_nt,120,2,124561,125/270,4,256,80,80,10.0,10.0,24,True,8031744
conv2d_iter_1x1,868,11,17277,126/270,4,256,80,80,10.0,10.0,24,True,8031744
conv2d_pad_1x1,1005,8,14922,127/270,4,256,80,80,10.0,10.0,24,True,8031744
conv2d_nt_1x1,882,11,17005,128/270,4,256,80,80,10.0,10.0,24,True,8031744
conv2d_iter_3x3,6932,148,2164,129/270,4,256,80,80,10.0,10.0,24,True,8031744
conv2d_pad_3x3,7677,143,1954,130/270,4,256,80,80,10.0,10.0,24,True,8031744
conv2d_nt_3x3,8148,5202,1841,131/270,4,256,80,80,10.0,10.0,24,True,8031744
conv2d_iter_7x7,26376,283,569,132/270,4,256,80,80,10.0,10.0,24,True,8031744
conv2d_pad_7x7,23522,14300,638,133/270,4,256,80,80,10.0,10.0,24,True,8031744
conv2d_nt_7x7,141773,922,106,134/270,4,256,80,80,10.0,10.0,24,True,8031744
batch_norm_tensor_iter,12345,34753,1215,135/270,4,256,80,80,10.0,10.0,24,True,8031744
batch_norm_tensor_pad,179,2,83465,136/270,4,256,80,80,10.0,10.0,24,True,8031744
batch_norm_nt,225,9,66564,137/270,4,256,80,80,10.0,10.0,24,True,8031744
max_pool2d_tensor_iter,137,5,109332,138/270,4,256,80,80,10.0,10.0,24,True,8031744
max_pool2d_tensor_pad,147,2,102002,139/270,4,256,80,80,10.0,10.0,24,True,8031744
max_pool2d_nt,128,3,117080,140/270,4,256,80,80,10.0,10.0,24,True,8031744
cross_entropy_tensor_iter,1600,5,9371,141/270,4,256,80,80,10.0,10.0,24,True,8031744
cross_entropy_tensor_pad,511,2,29352,142/270,4,256,80,80,10.0,10.0,24,True,8031744
cross_entropy_nt,1601,5,9364,143/270,4,256,80,80,10.0,10.0,24,True,8031744
dropout_tensor_iter,166,2,90063,144/270,4,256,80,80,10.0,10.0,24,True,8031744
dropout_tensor_pad,204,2,73504,145/270,4,256,80,80,10.0,10.0,24,True,8031744
dropout_nt,166,2,89944,146/270,4,256,80,80,10.0,10.0,24,True,8031744
interpolate_tensor_iter,556,2,26946,147/270,4,256,80,80,10.0,10.0,24,True,8031744
interpolate_tensor_pad,165,1,90473,148/270,4,256,80,80,10.0,10.0,24,True,8031744
interpolate_nt,149,2,100545,149/270,4,256,80,80,10.0,10.0,24,True,8031744
relu__tensor_pad,98,1,152140,150/270,4,256,80,80,0.0,0.0,24,True,6553600
relu__tensor_iter,102,1,145805,151/270,4,256,80,80,0.0,0.0,24,True,6553600
relu__nt,98,1,152355,152/270,4,256,80,80,0.0,0.0,24,True,6553600
relu_tensor_iter,103,2,145186,153/270,4,256,80,80,0.0,0.0,24,True,6553600
relu_tensor_pad,98,1,152077,154/270,4,256,80,80,0.0,0.0,24,True,6553600
relu_nt,98,2,152681,155/270,4,256,80,80,0.0,0.0,24,True,6553600
